1,Afghanistan,Asia
2,Albania,Europe
3,Algeria,Africa
4,Andorra,Europe
5,Angola,Africa
6,Antigua and Barbuda,North America
7,Argentina,South America
8,Armenia,Asia
9,Australia,Oceania
10,Austria,Europe
11,Azerbaijan,Asia
12,Bahamas,North America
13,Bahrain,Asia
14,Bangladesh,Asia
15,Barbados,North America
16,Belarus,Europe
17,Belgium,Europe
18,Belize,North America
19,Benin,Africa
20,Bhutan,Asia
21,Bolivia,South America
22,Bosnia and Herzegovina,Europe
23,Botswana,Africa
24,Brazil,South America
25,Brunei,Asia
26,Bulgaria,Europe
27,Burkina Faso,Africa
28,Burundi,Africa
29,Cambodia,Asia
30,Cameroon,Africa
31,Canada,North America
32,Cape Verde,Africa
33,Central African Republic,Africa
34,Chad,Africa
35,Chile,South America
36,China,Asia
37,Colombia,South America
38,Comoros,Africa
39,Congo,Africa
40,Costa Rica,North America
41,Cote d'Ivoire,Africa
42,Croatia,Europe
43,Cuba,North America
44,Cyprus,Europe
45,Czechia,Europe
46,Democratic Republic of Congo,Africa
47,Denmark,Europe
48,Djibouti,Africa
49,Dominica,North America
50,Dominican Republic,North America
51,Ecuador,South America
52,Egypt,Africa
53,El Salvador,North America
54,Equatorial Guinea,Africa
55,Eritrea,Africa
56,Estonia,Europe
57,Eswatini,Africa
58,Ethiopia,Africa
59,Fiji,Oceania
60,Finland,Europe
61,France,Europe
62,Gabon,Africa
63,Gambia,Africa
64,Georgia,Asia
65,Germany,Europe
66,Ghana,Africa
67,Greece,Europe
68,Grenada,North America
69,Guatemala,North America
70,Guinea,Africa
71,Guinea-Bissau,Africa
72,Guyana,South America
73,Haiti,North America
74,Honduras,North America
75,Hong Kong,Asia
76,Hungary,Europe
77,Iceland,Europe
78,India,Asia
79,Indonesia,Asia
80,Iran,Asia
81,Iraq,Asia
82,Ireland,Europe
83,Israel,Asia
84,Italy,Europe
85,Jamaica,North America
86,Japan,Asia
87,Jordan,Asia
88,Kazakhstan,Asia
89,Kenya,Africa
90,Kosovo,Europe
91,Kuwait,Asia
92,Kyrgyzstan,Asia
93,Laos,Asia
94,Latvia,Europe
95,Lebanon,Asia
96,Lesotho,Africa
97,Liberia,Africa
98,Libya,Africa
99,Liechtenstein,Europe
100,Lithuania,Europe
101,Luxembourg,Europe
102,Madagascar,Africa
103,Malawi,Africa
104,Malaysia,Asia
105,Maldives,Asia
106,Mali,Africa
107,Malta,Europe
108,Marshall Islands,Oceania
109,Mauritania,Africa
110,Mauritius,Africa
111,Mexico,North America
112,Moldova,Europe
113,Monaco,Europe
114,Mongolia,Asia
115,Montenegro,Europe
116,Morocco,Africa
117,Mozambique,Africa
118,Myanmar,Asia
119,Namibia,Africa
120,Nepal,Asia
121,Netherlands,Europe
122,New Zealand,Oceania
123,Nicaragua,North America
124,Niger,Africa
125,Nigeria,Africa
126,North Macedonia,Europe
127,Norway,Europe
128,Oman,Asia
129,Pakistan,Asia
130,Palestine,Asia
131,Panama,North America
132,Papua New Guinea,Oceania
133,Paraguay,South America
134,Peru,South America
135,Philippines,Asia
136,Poland,Europe
137,Portugal,Europe
138,Qatar,Asia
139,Romania,Europe
140,Russia,Europe
141,Rwanda,Africa
142,Saint Kitts and Nevis,North America
143,Saint Lucia,North America
144,Saint Vincent and the Grenadines,North America
145,Samoa,Oceania
146,San Marino,Europe
147,Sao Tome and Principe,Africa
148,Saudi Arabia,Asia
149,Senegal,Africa
150,Serbia,Europe
151,Seychelles,Africa
152,Sierra Leone,Africa
153,Singapore,Asia
154,Slovakia,Europe
155,Slovenia,Europe
156,Solomon Islands,Oceania
157,Somalia,Africa
158,South Africa,Africa
159,South Korea,Asia
160,South Sudan,Africa
161,Spain,Europe
162,Sri Lanka,Asia
163,Sudan,Africa
164,Suriname,South America
165,Sweden,Europe
166,Switzerland,Europe
167,Syria,Asia
168,Taiwan,Asia
169,Tajikistan,Asia
170,Tanzania,Africa
171,Thailand,Asia
172,Timor,Asia
173,Togo,Africa
174,Trinidad and Tobago,North America
175,Tunisia,Africa
176,Turkey,Asia
177,Uganda,Africa
178,Ukraine,Europe
179,United Arab Emirates,Asia
180,United Kingdom,Europe
181,United States,North America
182,Uruguay,South America
183,Uzbekistan,Asia
184,Vanuatu,Oceania
185,Vatican,Europe
186,Venezuela,South America
187,Vietnam,Asia
188,Yemen,Asia
189,Zambia,Africa
190,Zimbabwe,Africa
